# spec: spec.md
# sha256: c3916bb9fd9477d0112585a26b5fc47510b6370507601878369e155724fa85d4
# generated: 2026-08-31
subject	kind	status	claim	section	anchor
product name	definition		The document names the product DCS-Bridge.	DCS-Bridge — The hook driver built-ins	# DCS-Bridge — The hook driver built-ins
sibling document prefix	definition		SIM §N cites the sim driver's built-ins, the other half of what ships in the box.	DCS-Bridge — The hook driver built-ins	refers to the sim driver's built-ins, the other half of what ships in the box.
hook targeting	constraint		Every topic in the document is hook-targeted under SPEC §8.2.	DCS-Bridge — The hook driver built-ins	**Every topic in this document is hook-targeted** (SPEC §8.2), so the whole set
handler file	definition		The set's handlers live in HookDriver.builtin.lua.	DCS-Bridge — The hook driver built-ins	runs with no sim driver loaded. Its handlers live in `HookDriver.builtin.lua`
cost tier	constraint		The set sits at the hook tier of SPEC §3.1, a DCS restart.	DCS-Bridge — The hook driver built-ins	hook tier of SPEC §3.1 — a DCS restart — where the sim driver built-ins' is a
external-spec	dependency		The DCS-Bridge specification governs terms, sections and rules this document cites as SPEC.	DCS-Bridge — The hook driver built-ins	Companion to the DCS-Bridge specification. `SPEC §N` refers to it; `SIM §N`
hook driver built-ins	definition		The hook driver built-ins are DCS-Bridge's administrative surface plus the coordinate calibration.	1. What the hook driver built-ins are	The hook driver built-ins are DCS-Bridge's administrative surface: the player
state boundary	constraint		Every built-in here runs in the GameGUI hook state and mission-scripting surface belongs to the sim driver.	1. What the hook driver built-ins are	**Every built-in here runs in the GameGUI hook state.** Mission-scripting
registration keys	interface		Handlers register as builtin.* keys through the SPEC §6.10 surface.	1. What the hook driver built-ins are	Its handlers live in `HookDriver.builtin.lua` and register as `builtin.*` keys
file ownership	constraint		HookDriver.builtin.lua is DCS-Bridge-owned and a release overwrites it.	1. What the hook driver built-ins are	`HookDriver.builtin.lua` is DCS-Bridge-owned: a release overwrites it, so an
veto policy	behavior		Every handler in the set returns nothing and never vetoes.	2. Act, do not veto	state. SPEC §4 permits a deliberate veto; this set never uses one. **Every
correction latency	behavior	UNVERIFIED	The script-side correction measures 1 to 2.5 ms against a 2.1 to 2.8 s slot-to-Fly; the full round trip is unmeasured.	2. Act, do not veto	2.1 to 2.8 s slot-to-Fly; the full consumer round trip is unmeasured
player identity map	behavior		The hook driver keeps a map of player id to ucid.	3. Player identity	**The hook driver keeps a map of player id to ucid.** A command travels a round
command addressing	constraint		A command that names a player names it by ucid; five commands do and eleven name none.	3. Player identity	**A command that names a player names it by ucid.** Five commands do
ucid resolution	behavior		The hook driver resolves a ucid to a session id only where the underlying call takes one.	3. Player identity	**The hook driver resolves a ucid to a session id only where the underlying call
CommandAckOutcome extension	interface		The set adds NO_MATCH 50 and AMBIGUOUS 51 in the hook driver built-ins' range.	3. Player identity	COMMAND_ACK_OUTCOME_NO_MATCH  = 50;   // the ucid names nobody connected
harvest rule	behavior		Harvest the delta from the veto callback and emit from the sibling callback.	3. Player identity	**Harvest the delta from the veto callback. Emit from the sibling.** The
slot harvest preemption	dependency		ED's multislot.lua registers onPlayerTryChangeSlot and returns on every path, so the slot harvest normally does not arrive.	3. Player identity	**The slot harvest normally does not arrive.** ED's
map rebuild	behavior		The hook driver rebuilds the id-to-ucid map at onMissionLoadEnd and reports its size as roster_entries.	3. Player identity	**Rebuild the map at `onMissionLoadEnd`.** Iterate `net.get_player_list` and
