# spec: spec.md
# sha256: 783dbd696c816cc3df12d18e97efc902c386cc0ad3c3221bc27f91e7dfd4b838
# generated: 2026-08-31
subject	kind	status	claim	section	anchor
bridge	definition		The bridge moves typed records between a DCS mission and external programs in both directions.	1.1 What the bridge does	The bridge moves typed records between a DCS mission and external programs, in
bridge	constraint		The broker holds no domain logic and defines no domain record beyond its own enumerated set.	1.2 What the bridge does not do	- The broker holds no domain logic. The sim driver holds all of it.
bridge	constraint		The bridge does not make the mission depend on any consumer.	1.2 What the bridge does not do	- It does not make the mission depend on any consumer. See Section 11.
deployment	definition		The operator authors the missions they run, at every server size.	1.3 Workload and design target	**The operator authors the missions they run.** That is the deployment this
deployment	constraint		A client is not a supported deployment and no figure describes one.	1.1 What the bridge does	blocked by this. A client is still not a supported deployment. No figure in
seam	definition		Interface A is a seam allowing a second transport implementation, and no such implementation is claimed.	1.4 One broker, one seam	**Interface A is a seam, not a promise.** Generated emitters target the
broker	definition		The broker is a Rust DLL loaded into the DCS process at Mods services DCSBridge bin lua-dcsbridge.dll.	2. Components	| 1 | Broker | Rust | `Mods\services\DCSBridge\bin\lua-dcsbridge.dll` | DCS process |
broker	constraint		The broker uses no garbage collector and no language runtime.	2. Components	The broker uses no garbage collector and no language runtime. A collector
broker	constraint		Everything outside the Lua files is Rust: the broker, the CLI and the generator.	2. Components	**Everything outside the Lua files is Rust**: the broker, the CLI and the
sim-driver	definition		The sim driver is Lua 5.1 injected into the server state and lives for one mission.	2. Components	| 3 | Sim driver | Lua 5.1 | Injected into the `"server"` state | One mission |
server-state	definition		The names server and scripting denote one Lua state; mission is a different state.	2. Components	**`"server"` and `"scripting"` are two names for one state.** For this state,
extension-rule	behavior		Adding a record type takes five steps and rebuilds no module.	3.1 Adding a record type	Five steps. None rebuilds the broker.
extension-rule	constraint		An sim-driver-targeted topic costs a mission reload; a hook-driver-targeted topic costs a DCS restart.	3.1 Adding a record type	**The five-step rule has two tiers.** Step 5's cost depends on the topic's
rebuild	constraint		No configuration value requires a module rebuild.	3.2 When the broker must be rebuilt	**No configuration value requires a rebuild. Not one.** Every key in Section
lua-dialect	dependency		DCS runs reference Lua 5.1 and not LuaJIT.	4. Code rules	- Write all Lua for reference Lua 5.1. DCS does not use LuaJIT.
lua-dialect	dependency		bit, ffi, jit, string.pack and goto do not exist in DCS Lua.	4. Code rules	- `bit`, `ffi`, `jit`, `string.pack`, and `goto` do not exist. Do not use them.
luaopen-exports	dependency		lua.dll exports nine standard library openers and no component may call one.	4. Code rules	- **Never call a `luaopen_*` export.** `lua.dll` exports nine standard-library
luaopen-exports	constraint		Under Route B, calling luaopen_io, luaopen_os or luaopen_package would undo the mission sandbox.	4. Code rules	  - **Under Route B, `luaopen_io`, `luaopen_os` and `luaopen_package` would
callback-guard	constraint		Every DCS callback body carries one pcall and logs a raise once per callback per epoch.	4. Code rules	- Put one `pcall` around the whole body of every DCS callback. **Log a raise
veto-callbacks	constraint		An onPlayerTry callback returns nothing unless it means to veto, because any return breaks the hook chain.	4. Code rules	- **Return nothing from an `onPlayerTry*` callback unless you mean to veto.**
veto-callbacks	dependency		ED's shipped reference lists three return-value callbacks and its own hook returns from a fourth.	4. Code rules	  return-value callbacks. The list is incomplete: ED's own
