# spec: plan.md
# sha256: da114d144f1f1d6dad10504c0366ae60585a0cec895d202add67f63525d88150
# generated: 2026-09-01
subject	kind	status	claim	section	anchor
plan-role	goal		The plan states build order, what ships, how each probe is run, and the conventions the three specifications are written under.	DCS-Bridge — Project plan	Build order, what ships, how each probe is run, and the conventions the three
plan-churn	constraint		The plan changes weekly and the three specifications it points at do not.	DCS-Bridge — Project plan	This document changes weekly. The specifications it points at do not. `SPEC §N`
plan-nondependency	nongoal		No requirement in SPEC, SIM or HOOK depends on the plan.	DCS-Bridge — Project plan	for a requirement.**
task-id	definition		A task ID names a task across revisions and does not encode its position in the build order.	1. Task breakdown	**A task ID is a name, not a position.** The row order inside a phase is the
phase-order	constraint		Phases are ordered so every done-when is satisfiable with what exists when it runs.	1. Task breakdown	that every done-when is satisfiable with what exists when it runs.
cli-lockstep	behavior		The CLI is built in lock-step with the broker because most of the broker phase's done-whens name a consumer, and that consumer is dcsb.	1. Task breakdown	**The CLI is built in lock-step with the bridge, not after it.** Most of the
probe-placement	constraint		Every remaining probe runs inside the phase that can answer it.	1. Task breakdown	**Every remaining probe runs inside the phase that can answer it.** PROBE-3
cli-verbs	interface		The CLI grows nine verbs across the phases: tail, ping, schema, send, record, replay, mock, stats and doctor.	1.1 CLI increments	| `tail` | 2.C1 | The first done-when that needs a record observed off the wire |
cli-doctor-increments	behavior		doctor grows in four increments because it can only check what exists.	1.1 CLI increments	| `doctor` | 4.C1, 5.C2, 8.C1, 9.C1 | It can only check what exists, so it grows in four increments |
walking-skeleton	goal		Phase 1 produces a downloadable build from a tag before any behaviour exists.	Phase 1 — Repository, CI, release and schema	**A walking skeleton, built first so that everything after it ships.** The
cross-build	dependency		The broker and the CLI are cross-built for x86_64-pc-windows-msvc through cargo-xwin from a Linux runner.	Phase 1 — Repository, CI, release and schema	| 1.4 | Windows cross-build in CI: `x86_64-pc-windows-msvc` through `cargo-xwin`, the only Windows target (ADR 0003). The broker is never built with `panic = "abort"` (SPEC §14.2). | `lua-dcsbridge.dll` and `dcsb.exe` are produced from a Linux runner. |
schema-ownership-check	constraint		CI enforces that only the SPEC 1.2 records live in the dcs.bridge package.	Phase 1 — Repository, CI, release and schema	| 1.7 | `buf lint` and `buf breaking` in CI against the previous release, plus the SPEC §8.4 ownership check: only the SPEC §1.2 records may live in `dcs.bridge`. | An incompatible change fails the build. A message added to `dcs.bridge` from outside that set fails it too. |
broker-handled-set	interface		Phase 2 lands five messages the broker answers itself on the reader thread, and none of them reaches a ring.	Phase 2 — The broker, and the CLI beside it	| 2.9 | Handshake, then auth, then five messages the broker answers itself on the reader thread: `Ping`, `Auth`, `GetSchema`, `SeqAck`, `SetEnabled`. `SetTopicFilter` and `GetTopics` join them at 2.20. | `Pong` answers during a mission-load blackout. None of the five reaches a ring. |
rejected-reason	interface		A Rejected record carries the inbound envelope's seq, the topic id and one RejectedReason member.	Phase 2 — The broker, and the CLI beside it	| 2.13 | `Rejected` on the reader thread, carrying the inbound envelope's `seq`, the topic id and one of the four `RejectedReason` members;
ring-model	behavior		One producer ring feeds a writer thread that fans out to per-connection queues, so adding a consumer costs the logic thread nothing.	Phase 2 — The broker, and the CLI beside it	| 2.4 | One producer ring; writer thread fans out to per-connection queues. | Adding a consumer does not change logic-thread cost per record. |
lifecycle-retention	behavior		LIFECYCLE retention keeps the latest record per topic in slots allocated at shim.classes under max_lifecycle_topics.	Phase 2 — The broker, and the CLI beside it	| 2.17 | `LIFECYCLE` retention: latest per topic, slots allocated at `shim.classes` under `max_lifecycle_topics`, replayed after auth in emit order before live traffic, through the same capability filter. `lifecycle_replayed_total`. | An `dcsb tail` started mid-epoch receives `EpochOpened` before any live record. A `shim.classes` call above the cap is refused whole. |
generator-outputs	interface		The generator emits seven artifacts split by target into SimDriver.gen.lua and HookDriver.gen.lua.	Phase 3 — Generator	| 3.1 | `protoc-gen-dcsbridge-lua`: emitters, send wrappers, the topics table, decoders, and the class, route and capability tables, split by target into `SimDriver.gen.lua`, whose tables register into `DCSBridge.code`, and `HookDriver.gen.lua`, each carrying the schema hash. The plugin advertises `FEATURE_PROTO3_OPTIONAL`. | Golden files show all seven, split by target. Sim-driver-side execution is verified at 5.9. |
hook-dispatch-loop	behavior		The hook driver dispatch loop runs from five callbacks and dispatches nothing between onMissionLoadBegin and onMissionLoadEnd.	Phase 4 — Hook driver and sim driver bootstrap	| 4.12 | Hook driver dispatch loop per SPEC §6.4: hook driver ring poll, five callbacks, `hook_driver_dispatch_max_commands` per invocation, `hook_driver_dispatch_deferred_total`, nothing between `onMissionLoadBegin` and `onMissionLoadEnd`. Loads `HookDriver.gen.lua` and registers its tables. | A hook-driver-targeted command dispatches at the menu with no mission loaded. A burst above the cap defers rather than extending the callback. |
config-reader	constraint		The hook driver is the only reader of Config\DCSBridge.lua on Route A.	Phase 4 — Hook driver and sim driver bootstrap	| 4.2 | Config with the same defaults in code. Hook driver reads `Config\DCSBridge.lua` and calls `shim.configure`. It is the only reader of that file on Route A, and the only reader of a hook-driver-owned key on either route. | It runs with the config absent. Every broker-owned value in SPEC §13.1 arrives through one call. |
bounded-work-model	behavior		The sim driver's bounded work model has seven stages with per-stage caps and deferral counters.	Phase 5 — The sim driver runtime	| 5.3 | Bounded work model, seven stages, with per-stage caps and deferral counters. `subscription_max_evals` and `spot_max_updates` are present as structural caps and never bind. | A cap hit every frame is visible in `stage_deferred_total`. |
four-slots	definition		The sim driver builds one global DCSBridge with four slots stamped with STATE_VERSION.	Phase 5 — The sim driver runtime	| 5.1 | One global `DCSBridge`, its four slots built field by field, stamped `__dcsbridge = STATE_VERSION`. A table without the stamp stops the load; a table with it is epoch leftovers to release and rebuild. Sandbox level read and reported. | An operator can see which regime they are in. A foreign `_G.DCSBridge` stops the load instead of merging. A second mission load adopts its own leftovers instead of reporting a collision. |
metrics-readable	constraint		Every metric named in SPEC 12 is readable through shim.stats and through dcsb stats.	Phase 5 — The sim driver runtime	| 5.10 | `shim.stats()` for the broker-owned counters, plus the sim-driver-owned and hook-driver-owned metrics published alongside them. Flat keys per SPEC §5.1, with composite keys rather than subtables. | Every metric named in SPEC §12 is readable, and every broker-owned one comes from `stats`. |
epoch-ownership	behavior		The hook driver owns both epoch boundaries: it emits EpochOpened at onMissionLoadEnd and EpochClosed at onSimulationStop.	Phase 6 — Lifecycle	| 6.1 | The hook driver owns both boundaries: it allocates the epoch id at `onMissionLoadEnd`, emits `EpochOpened` there before injecting, publishes the id with `shim.epoch`, passes it to the sim driver, and emits `EpochClosed` at `onSimulationStop`. `EpochClosed` reads no theatre: `DCS.getMissionTheatre()` returns nil at `onSimulationStop` while the mission name and filename still read. | Both boundaries arrive with `SimDriver.lua` absent. The boundary survives a sim driver that never got a frame. `EpochClosed` carries no field the teardown cannot supply. |
epoch-opened-fields	interface		EpochOpened carries the epoch id, the mission-start wall-clock time, the mission time, the terrain name, the mission name and the is_server and is_multiplayer pair.	Phase 6 — Lifecycle	| 6.2 | `EpochOpened` carries the epoch id, the mission-start wall-clock time, the mission time, the terrain name, the mission name and the `is_server` / `is_multiplayer` pair, each `DCS.*` call made alone and guarded, emitted at `onMissionLoadEnd`. | A consumer holds an epoch anchor and a time pair on every configuration. |
lifecycle-topic-count	constraint		Twelve LIFECYCLE topics exist and eight of them are the hook driver's.	Phase 6 — Lifecycle	| 6.4 | All twelve `LIFECYCLE` topics, eight of them the hook driver's. `CallbackHz` is not among them; ADR 0010 makes it `LOSSY`. | An `dcsb tail` logs the full sequence. The four sim-driver-emitted topics are the only ones missing with no sim driver. |
calibration-emitter	behavior		CoordinateCalibration is class LIFECYCLE and the hook driver emits it, never the sim driver.	Phase 6 — Lifecycle	| 6.3 | `CoordinateCalibration`, class `LIFECYCLE`, emitted by the hook driver from `terrain.convertMetersToLatLon`, never by the sim driver. HOOK §10 fixes the derivation, the verification points and the declination route. | A consumer converts DCS coordinates with no per-record traffic and with no sim driver loaded. A known airfield converts to its published latitude and longitude within tolerance, and the values match `coord.LOtoLL` read from the mission-scripting state. |
command-answer	constraint		Exactly one point-to-point record answers every command that reaches Lua.	Phase 7 — Commands	| 7.5 | Exactly one point-to-point record per command that reaches Lua, sent with `send_to` per SPEC §8.5.3: a typed reply on a successful read, a `CommandAck` otherwise, `detail` truncated at `command_ack_detail_max_bytes`. | The consumer learns the result of every command that reaches Lua. A successful read produces its reply and no acknowledgement. |
spot-lifecycle	behavior		Spots are managed resources with an interval, a max_spots cap and epoch teardown.	Phase 7 — Commands	| 7.8 | Laser and infrared spots as managed resources with interval, `max_spots`, `spot_max_updates` and epoch teardown. | A lased target tracks with no consumer round trip. A killed source destroys the spot and emits a record. |
eval-safety	behavior		The eval poller renames before executing so a crashing script does not re-execute.	Phase 11 — Operator eval	| 8.2 | Size check against `eval_max_file_bytes`, then rename to `.running`, then compile without executing; `.done`/`.failed` after; startup sweep. | A crashing script does not re-execute. An oversize file is renamed `.failed` unread. |
reload-route	constraint		ReloadSimDriver is Route A only and a Route B install answers with an error naming the route.	Phase 8 — Reload	| 8.6 | `ReloadSimDriver` with the `reload` capability, Route A only: compile-before-teardown over the whole reload set, sim-driver-tier settings re-read alongside the source, rollback on raise. A Route B install answers with an error naming the route. | A syntax error leaves the running sim driver untouched. One file failing to compile aborts the whole reload. |
token-enforcement	behavior		Per-consumer tokens carry an id distinct from the secret and are enforced per topic inbound and at fan-out.	Phase 9 — Hardening	| 9.1 | Per-consumer tokens with an id distinct from the secret, capability sets, constant-time compare; per-topic enforcement from the registered capability maps, inbound and at fan-out; live rotation through `ReloadConfig`. | A `read` token is refused with `Rejected` when it sends a command, and never receives a record its capabilities do not cover. Revoking a token drops its live sessions. |
inbound-limits	behavior		inbound_records_per_sec refuses with Rejected and keeps the connection while inbound_records_per_sec_total disconnects.	Phase 9 — Hardening	| 9.6 | Inbound rate limits, per connection and aggregate, answering differently: `inbound_records_per_sec` refuses with `Rejected` and keeps the connection, `inbound_records_per_sec_total` disconnects. Drop-newest on a full ring. | A flooding consumer is refused, then disconnected. `max_connections` legal consumers cannot together exceed dispatch capacity. |
ring-sizing-probe	dependency		PROBE-7 runs at 9.7 and gives the four ring keys a measured basis.	Phase 9 — Hardening	| 9.7 | Run PROBE-7, ring sizing at peak record rate, now that a real rate exists. | `ring_out_records`, `ring_out_lifecycle_reserve`, `ring_in_sim_driver_records` and `ring_in_hook_driver_records` have a measured basis rather than a provisional one. |
builtin-sets	interface		Phase 10 builds the sim driver built-ins from SIM 2 Tier 1 and the hook driver built-ins from HOOK 1.	Phase 10 — Adoption and packaging	| 10.6 | Hook driver built-ins, HOOK §1: identity map, records, commands, capabilities, bounce guards, audit. | The HOOK §13 rows pass. |
accessor-table	constraint		CI checks that no DCS.* call bypasses the hook driver's accessor table.	Phase 10 — Adoption and packaging	| 10.5 | CI check that no `DCS.*` call bypasses task 4.5's accessor table, across the hook driver and both built-in sets. | A namespace change is one edit. See SPEC §4.4. |
hook-probe-schedule	dependency		Task 10.7 runs the eight probes in HOOK 12 against the built hook driver built-ins.	Phase 10 — Adoption and packaging	| 10.7 | Run PROBE-17, PROBE-18, PROBE-19 and PROBE-20 against the built hook driver built-ins on a dedicated server, and PROBE-A2, PROBE-A5, PROBE-A6 and PROBE-A11 where a second player, a cockpit or an enforcing build allows. | HOOK §12's register is empty. |
ships-alongside	goal		Seven artifacts ship alongside the bridge, in order of importance.	2. What ships alongside	Adoption fails on friction, not on capability. Seven artifacts, in order of
record-replay	goal		record captures a live session to a file and replay feeds that file to a consumer with no DCS running.	2. What ships alongside	**Record and replay.** `record` captures a live session to a file. `replay`
editor-support	interface		A ---@meta stub annotates the SPEC 6.10 runtime surface and a .luarc.json template wires it into a Lua language server.	2. What ships alongside	**Editor support for extension authors.** A `---@meta` stub annotating the SPEC
probe-register-location	constraint		The probe registers live in the specifications and the plan holds only the method.	3. Probe method	The register itself is in the specifications: SPEC §16 for the bridge's probes,
probe3-method	behavior		PROBE-3 times N put calls in a tight loop and separately reports bytes allocated in Lua per call.	3.1 PROBE-3 in detail	- **Microseconds**, timed over N calls in a tight loop, in the state the sim
probe3-traps	constraint		collectgarbage("count") reports memory in use rather than bytes allocated, so the delta is taken with the collector stopped.	3.1 PROBE-3 in detail	- `collectgarbage("count")` reports memory **in use**, not bytes allocated.
document-split	definition		The specification is four documents: SPEC, SIM, HOOK and this plan.	4. Project conventions	**The specification is four documents.** `SPEC` is the bridge: the broker, the
citation-direction	constraint		A document may cite a document that changes less often than it does and never one that changes more often.	4. Project conventions	changes less often than it does, never one that changes more often.** The
section-prefix	constraint		A reference crossing a document boundary carries a document prefix and a reference inside one document keeps the bare Section N.M form.	4. Project conventions	document keeps the bare "Section N.M" form; only a reference that crosses a
cross-cutting-tables	constraint		A cross-cutting table stays whole in the bridge specification and a built-in document that adds a row adds it there.	4. Project conventions	**A cross-cutting table is not split.** The SPEC §10 budget is a sum, the SPEC
probe-travel	constraint		A probe and a test row travel with the behaviour they cover.	4. Project conventions	**A probe and a test row travel with the behaviour they cover**, because their
language-target	dependency		Everything outside the Lua files is Rust and the product target is x86_64 Windows.	4. Project conventions	**Everything outside the Lua files is Rust**, and it builds on Linux, macOS or
host-native-build	dependency		The broker builds host-native for tests, so about half the SPEC 17 rows run in CI.	4. Project conventions	**The broker also builds host-native, for tests only.** Nothing in the broker
route-parity	constraint		Both injection routes stay documented and four features are Route A's alone.	4. Project conventions	**Both injection routes stay documented.** Route A is the default. Route B is
xref-ci	constraint		CI checks that every bare Section reference resolves in its own document and every prefixed reference resolves in the document it names.	4. Project conventions	**Cross-references are checked in CI**, across four documents rather than
