# spec: spec.md
# sha256: 47d0d4b9854969bef09dafd610ced56d22c3cc36a8b26975fd3e283008c0020a
# generated: 2026-08-31
subject	kind	status	claim	section	anchor
builtins	definition		The sim driver is the record set and command set shipped in the box, alongside DCS-Bridge and not part of it.	1. What the built-ins are	The built-ins are the record set and command set that ship in the box. A user
builtins	constraint		A token must be configured before any consumer sees a record, because tokens defaults to none.	1. What the built-ins are	closes a connection that fails authentication (SPEC §13.1 and §5.2). **The
builtin-files	constraint		A shipped sim-driver file is suppressed by sim_driver_disabled_files at a mission reload.	1. What the built-ins are	overrides by key, and `sim_driver_disabled_files`, which skips a shipped
builtin-files	definition		The sim driver runs entirely in the mission-scripting state and its handlers live in SimDriver.builtin.lua.	1. What the built-ins are	**Every built-in runs in the mission-scripting state.** They live in one file,
scope-rule	constraint		Tier 1 is sized on what third-party tooling shows people use, Tier 2 on what that tooling does not cover, Tier 3 on stated refusals.	1. What the built-ins are	**How the scope was chosen.** Tier 1 is what five years of third-party DCS
scope-rule	constraint		A gap in existing tooling is weaker evidence than a covered case, because an unimplemented item may be unwanted or merely unfinished.	1. What the built-ins are	**A gap in existing tooling is weaker evidence than a covered case.** An
tier1-mission-events	interface		Tier 1 forwards every S_EVENT_* the build defines: world.event carries 63 constants, ids 0 to 62 contiguous, 61 of them real events.	2. Tier 1 — first release	| Mission events | Every `S_EVENT_*` the build defines. On 2.9.28.26385 `world.event` carries 63 constants
tier1-mission-events	constraint		Each event id becomes its own record type, because a capability gates a topic and never a field.	2. Tier 1 — first release	| Mission events | Every `S_EVENT_*` the build defines. On 2.9.28.26385 `world.event` carries 63 constants, ids 0 to 62 contiguous: `S_EVENT_INVALID` (0), `S_EVENT_MAX` (62), and **61 real events** between them. One probe run fires only the subset its mission produces, so size the record set from the enum rather than from a run. Forward all of them, including three that are commonly skipped: `S_EVENT_TOOK_CONTROL` (13), `S_EVENT_TRIGGER_ZONE` (35), `S_EVENT_BDA` (37). **One record type per event id, not one record type carrying an event id.** SPEC §14.4 gates a capability per topic and never per field, so a single forwarding record type could not disclose `S_EVENT_SHOT` to a consumer while withholding `S_EVENT_PLAYER_ENTER_UNIT`. A topic is its message's fully-qualified name (SPEC §5.2), so 61 types cost no registry coordination. Section 10 governs what each record carries. |
tier1-event-handler	constraint		One permanent handler table lives in DCSBridge.resources, is registered once, and has its onEvent wrapped in pcall.	2. Tier 1 — first release	| Event handler | One permanent table in `DCSBridge.resources`, registered once
tier1-world-reads	interface		Tier 1 world reads cover coalition group, static, airbase and player enumeration, the bullseye, mark panels and the theatre.	2. Tier 1 — first release	| World reads | `coalition.getGroups`, `getStaticObjects`, `getAirbases`, `getPlayers`
