# spec: spec.md
# sha256: 783dbd696c816cc3df12d18e97efc902c386cc0ad3c3221bc27f91e7dfd4b838
# generated: 2026-08-31
term	subject	defined_in	note
record	record	Terms	One typed message.
consumer	consumer	Terms	An external program connected to the bridge.
logic thread	logic-thread	Terms	The DCS thread that runs the sim and all Lua.
epoch	epoch	Terms	One mission's lifetime on the wire. Also 9.4.
drain	drain	Terms	The once-per-frame transfer of buffered sim driver records to the broker.
Route A	route-a	UNDEFINED	Bootstrap injection through net.dostring_in.
bootstrap injection	route-a	UNDEFINED	Synonym for Route A.
Route B	route-b	UNDEFINED	dofile from MissionScripting.lua at bootstrap.
record class	record-class	UNDEFINED	Transport drop policy. Four members.
DURABLE	record-class	UNDEFINED	Never discard silently while a consumer is connected.
LOSSY	record-class	UNDEFINED	Discard freely under pressure.
COMMAND	record-class	UNDEFINED	Consumer to mission. Retry with an idempotency key.
LIFECYCLE	record-class	UNDEFINED	Never discard. Retained and replayed.
target	target	UNDEFINED	Sim driver or hook. Names which component owns a topic.
doctor	doctor	UNDEFINED	The diagnostic verb of the CLI. Terms points at PLAN 2 instead.
topic id	topic-id	UNDEFINED	The payload's fully-qualified type name, carried as an Any type URL.
server state	server-state	UNDEFINED	The mission-scripting Lua state. The spec spells it with quotes as the "server" state.
scripting state	server-state	UNDEFINED	ED's name for the same state.
mission state	mission-state	UNDEFINED	A different state holding editor trigger-action wrappers.
hook state	hook-state	UNDEFINED	The Lua state a Scripts Hooks script runs in. Not the hook driver.
sim driver	sim-driver	UNDEFINED	Lua injected into the "server" state. Lives one mission.
hook driver	hook-driver	UNDEFINED	Lua loaded at DCS start. Loader plus payload.
broker	broker	UNDEFINED	The Rust DLL. Also called the broker.
shim	interface-a	UNDEFINED	The Lua-side name of the Interface A table.
Interface A	interface-a	UNDEFINED	Transport to Lua. The put-call surface.
Interface B	interface-b	UNDEFINED	Transport to consumer. Framed protobuf over TCP.
Interface C	interface-c	UNDEFINED	Hook to sim driver. net.dostring_in.
seam	seam	UNDEFINED	Interface A as a replaceable boundary.
STATE_VERSION	state-version	UNDEFINED	Versions the shape of DCSBridge.state and nothing else. Section 13.3.
warm reload	reload	UNDEFINED	Keeps DCSBridge.state.
cold reload	reload	UNDEFINED	Discards DCSBridge.state.
resync	resync	UNDEFINED	A live scan answering a consumer that joins mid-mission.
subscription	subscription	UNDEFINED	A locally evaluated predicate and the record it emits.
spot	spot	UNDEFINED	A subscription owning a DCS handle that must be released.
sim driver built-ins	builtins	UNDEFINED	What ships in SimDriver.builtin.lua.
adopter	adopter	UNDEFINED	Someone extending the bridge with their own files and messages.
operator	operator	UNDEFINED	The person running the server. Trusted. Authors the missions.
extension file	extension-model	UNDEFINED	An adopter file under sim driver.d or hook.d.
registration surface	registration-surface	UNDEFINED	on, command, send, off, replace, wrap.
registrar	registration	UNDEFINED	The hook driver or the sim driver, registering topic tables.
blackout	load-blackout	UNDEFINED	The mission-load window. Measured as a total absence of frames, not slow frames.
point-to-point	point-to-point	UNDEFINED	A record addressed to one connection.
fan-out	fan-out	UNDEFINED	Delivery of a record to every connection.
write directory	write-directory	UNDEFINED	Saved Games DCS folder, resolved from lfs.writedir.
type URL	topic-id	UNDEFINED	type.googleapis.com/<package>.<Message>. The topic, and protobuf's own type identity.
